/gpx,,,,,,,,,,,
/@creator,/@version,/@version/#agg,/@xsi:schemaLocation,/metadata/copyright/@author,/metadata/copyright/license,/metadata/link/@href,/metadata/link/text,/metadata/name,/metadata/time,/trk/trkseg/trkpt/@lat,/trk/trkseg/trkpt/@lon
osrm,1.1,,http://www.topografix.com/GPX/1/1 http://www.topografix.com/GPX/1/1/gpx.xsd,OpenStreetMap contributors,http://www.openstreetmap.org/copyright,https://map.project-osrm.org/?z=10&center=-2.750332%2C-78.436890&loc=-2.304625%2C-78.117547&loc=-2.456017%2C-78.172663&loc=-2.966314%2C-78.430813&loc=-3.118336%2C-78.530016&hl=en&alt=0&srv=0,OpenStreetMap Routing with Open Source Routing Machine,"29 de Mayo, E45, E45, Via Mendez - Macas, E45, San Miguel del Conchay",5/18/2022 8:52,-2.30857,-78.11839
osrm,1.1,,http://www.topografix.com/GPX/1/1 http://www.topografix.com/GPX/1/1/gpx.xsd,OpenStreetMap contributors,http://www.openstreetmap.org/copyright,https://map.project-osrm.org/?z=10&center=-2.750332%2C-78.436890&loc=-2.304625%2C-78.117547&loc=-2.456017%2C-78.172663&loc=-2.966314%2C-78.430813&loc=-3.118336%2C-78.530016&hl=en&alt=0&srv=0,OpenStreetMap Routing with Open Source Routing Machine,"29 de Mayo, E45, E45, Via Mendez - Macas, E45, San Miguel del Conchay",5/18/2022 8:52,-2.30854,-78.11853
osrm,1.1,,http://www.topografix.com/GPX/1/1 http://www.topografix.com/GPX/1/1/gpx.xsd,OpenStreetMap contributors,http://www.openstreetmap.org/copyright,https://map.project-osrm.org/?z=10&center=-2.750332%2C-78.436890&loc=-2.304625%2C-78.117547&loc=-2.456017%2C-78.172663&loc=-2.966314%2C-78.430813&loc=-3.118336%2C-78.530016&hl=en&alt=0&srv=0,OpenStreetMap Routing with Open Source Routing Machine,"29 de Mayo, E45, E45, Via Mendez - Macas, E45, San Miguel del Conchay",5/18/2022 8:52,-2.30826,-78.11928
osrm,1.1,,http://www.topografix.com/GPX/1/1 http://www.topografix.com/GPX/1/1/gpx.xsd,OpenStreetMap contributors,http://www.openstreetmap.org/copyright,https://map.project-osrm.org/?z=10&center=-2.750332%2C-78.436890&loc=-2.304625%2C-78.117547&loc=-2.456017%2C-78.172663&loc=-2.966314%2C-78.430813&loc=-3.118336%2C-78.530016&hl=en&alt=0&srv=0,OpenStreetMap Routing with Open Source Routing Machine,"29 de Mayo, E45, E45, Via Mendez - Macas, E45, San Miguel del Conchay",5/18/2022 8:52,-2.30788,-78.12028
osrm,1.1,,http://www.topografix.com/GPX/1/1 http://www.topografix.com/GPX/1/1/gpx.xsd,OpenStreetMap contributors,http://www.openstreetmap.org/copyright,https://map.project-osrm.org/?z=10&center=-2.750332%2C-78.436890&loc=-2.304625%2C-78.117547&loc=-2.456017%2C-78.172663&loc=-2.966314%2C-78.430813&loc=-3.118336%2C-78.530016&hl=en&alt=0&srv=0,OpenStreetMap Routing with Open Source Routing Machine,"29 de Mayo, E45, E45, Via Mendez - Macas, E45, San Miguel del Conchay",5/18/2022 8:52,-2.30776,-78.12068
osrm,1.1,,http://www.topografix.com/GPX/1/1 http://www.topografix.com/GPX/1/1/gpx.xsd,OpenStreetMap contributors,http://www.openstreetmap.org/copyright,https://map.project-osrm.org/?z=10&center=-2.750332%2C-78.436890&loc=-2.304625%2C-78.117547&loc=-2.456017%2C-78.172663&loc=-2.966314%2C-78.430813&loc=-3.118336%2C-78.530016&hl=en&alt=0&srv=0,OpenStreetMap Routing with Open Source Routing Machine,"29 de Mayo, E45, E45, Via Mendez - Macas, E45, San Miguel del Conchay",5/18/2022 8:52,-2.30776,-78.12068
osrm,1.1,,http://www.topografix.com/GPX/1/1 http://www.topografix.com/GPX/1/1/gpx.xsd,OpenStreetMap contributors,http://www.openstreetmap.org/copyright,https://map.project-osrm.org/?z=10&center=-2.750332%2C-78.436890&loc=-2.304625%2C-78.117547&loc=-2.456017%2C-78.172663&loc=-2.966314%2C-78.430813&loc=-3.118336%2C-78.530016&hl=en&alt=0&srv=0,OpenStreetMap Routing with Open Source Routing Machine,"29 de Mayo, E45, E45, Via Mendez - Macas, E45, San Miguel del Conchay",5/18/2022 8:52,-2.30798,-78.1209
osrm,1.1,,http://www.topografix.com/GPX/1/1 http://www.topografix.com/GPX/1/1/gpx.xsd,OpenStreetMap contributors,http://www.openstreetmap.org/copyright,https://map.project-osrm.org/?z=10&center=-2.750332%2C-78.436890&loc=-2.304625%2C-78.117547&loc=-2.456017%2C-78.172663&loc=-2.966314%2C-78.430813&loc=-3.118336%2C-78.530016&hl=en&alt=0&srv=0,OpenStreetMap Routing with Open Source Routing Machine,"29 de Mayo, E45, E45, Via Mendez - Macas, E45, San Miguel del Conchay",5/18/2022 8:52,-2.30825,-78.12119
osrm,1.1,,http://www.topografix.com/GPX/1/1 http://www.topografix.com/GPX/1/1/gpx.xsd,OpenStreetMap contributors,http://www.openstreetmap.org/copyright,https://map.project-osrm.org/?z=10&center=-2.750332%2C-78.436890&loc=-2.304625%2C-78.117547&loc=-2.456017%2C-78.172663&loc=-2.966314%2C-78.430813&loc=-3.118336%2C-78.530016&hl=en&alt=0&srv=0,OpenStreetMap Routing with Open Source Routing Machine,"29 de Mayo, E45, E45, Via Mendez - Macas, E45, San Miguel del Conchay",5/18/2022 8:52,-2.30838,-78.12134
osrm,1.1,,http://www.topografix.com/GPX/1/1 http://www.topografix.com/GPX/1/1/gpx.xsd,OpenStreetMap contributors,http://www.openstreetmap.org/copyright,https://map.project-osrm.org/?z=10&center=-2.750332%2C-78.436890&loc=-2.304625%2C-78.117547&loc=-2.456017%2C-78.172663&loc=-2.966314%2C-78.430813&loc=-3.118336%2C-78.530016&hl=en&alt=0&srv=0,OpenStreetMap Routing with Open Source Routing Machine,"29 de Mayo, E45, E45, Via Mendez - Macas, E45, San Miguel del Conchay",5/18/2022 8:52,-2.30864,-78.12162
